iter	RMSE
302	1.000907697
303	0.9996682963
304	0.9984545346
305	0.9979292169
306	0.9969940038
307	0.9953868292
308	0.9935941916
309	0.9928981335
310	0.9908162843
311	0.9878250548
312	0.9852952966
313	0.9834499597
314	0.982843905
315	0.9811973104
316	0.9791026818
317	0.9786343558
318	0.9774248237
319	0.9761328714
320	0.9750460724
321	0.9742049441
322	0.9731477848
323	0.9726367665
324	0.9710422074
325	0.9697437697
326	0.9684760746
327	0.9672835784
328	0.966452877
329	0.9660010247
330	0.9634516371
331	0.9613875978
332	0.9611073972
333	0.9590817419
334	0.9578297675
335	0.9558746442
336	0.9553723852
337	0.9535990957
338	0.9528273378
339	0.9515848777
340	0.9495702223
341	0.9477271676
342	0.947295369
343	0.9453028452
344	0.944753073
345	0.9437202391
346	0.9430028973
347	0.9425886901
348	0.9421292249
349	0.940324053
350	0.9389257778
351	0.9372613238
352	0.9367430734
353	0.9362453754
354	0.9355854548
355	0.9337818073
356	0.9322799662
357	0.9312670444
358	0.9299380591
359	0.9287431141
360	0.9267810231
361	0.9265192172
362	0.9252914998
363	0.9241790985
364	0.9235264723
365	0.9226569306
366	0.9222196799
367	0.9211009532
368	0.9197150494
369	0.9193465989
370	0.9183980295
371	0.9174027626
372	0.9159000956
373	0.9152608352
374	0.9142776733
375	0.9135077859
376	0.9129714435
377	0.9124620292
378	0.9110366039
379	0.9105888646
380	0.9099831359
381	0.909577651
382	0.9083469903
383	0.9061769716
384	0.9056533144
385	0.9052355498
386	0.905074312
387	0.9032708789
388	0.9026137596
389	0.9004729565
390	0.8985427759
391	0.8978721952
392	0.8962197279
393	0.8942921417
394	0.8936483546
395	0.8919868159
396	0.8912763239
397	0.8904987141
398	0.8900585478
399	0.889638618
400	0.8891241846
401	0.8883628776
402	0.8877510195
403	0.8865890204
404	0.8857863207
405	0.8852441796
406	0.8836133198
407	0.8821234179
408	0.8818434673
409	0.8812113849
410	0.8794900629
411	0.8789066378
412	0.8778188538
413	0.876163936
414	0.8759809462
415	0.875656451
416	0.8750213612
417	0.8740302164
418	0.87335754
419	0.8718348098
420	0.8700467903
421	0.8684611588
422	0.8681885654
423	0.8663225953
424	0.8656608366
425	0.8643993758
426	0.863505183
427	0.8627124428
428	0.8624511745
429	0.8618254927
430	0.8612710364
431	0.860643805
432	0.8600980789
433	0.8589634178
434	0.8576307192
435	0.8570784436
436	0.8565861306
437	0.8555617062
438	0.8546314665
439	0.8538317066
440	0.8534544264
441	0.8527242589
442	0.8524039811
443	0.8510872655
444	0.8507880541
445	0.8494014454
446	0.8486973134
447	0.8473377303
448	0.8459171069
449	0.8451807065
450	0.8441056502
451	0.8425600718
452	0.8412504638
453	0.840705282
454	0.8399725441
455	0.8391397196
456	0.837753999
457	0.8371475536
458	0.8362499899
459	0.8357914041
460	0.835333365
461	0.8338898762
462	0.8325360635
463	0.8320589335
464	0.8310343735
465	0.8302215632
466	0.8296707047
467	0.8292250932
468	0.8288104755
469	0.8278674992
470	0.8271829898
471	0.8265127218
472	0.8262986221
473	0.8251713771
474	0.8242601635
475	0.8238324037
476	0.8234276755
477	0.8229898445
478	0.8225169146
479	0.8221447029
480	0.8213720049
481	0.8203960088
482	0.8198631824
483	0.8193151029
484	0.8180806465
485	0.8170389229
486	0.8159125233
487	0.8149266358
488	0.8140273345
489	0.8128640194
490	0.8127107665
491	0.8115430534
492	0.811099186
493	0.8109062122
494	0.8095185278
495	0.8084243948
496	0.8075315985
497	0.8064616863
498	0.8062416201
499	0.8057732782
